poids(preliminary,1) = 3.204662511748219
poids(report,1) = 2.699512533428313
poids(international,1) = 3.5514499979728753
poids(algebraic,1) = 2.8335946494764825
poids(language,1) = 2.0242498789098953
poids(extraction,2) = 3.5514499979728753
poids(roots,2) = 3.0285712526925375
poids(repeated,2) = 3.727541257028556
poids(subtractions,2) = 4.0285712526925375
poids(digital,2) = 2.5056925074122
poids(computers,2) = 2.4375066456660384
poids(techniques,3) = 2.2408746844026637
poids(department,3) = 3.4265112613645754
poids(matrix,3) = 2.362677707158105
poids(program,3) = 1.9270532974441277
poids(schemes,3) = 3.163269826589994
poids(glossary,4) = 3.660594467397943
poids(computer,4) = 1.729718176282831
poids(engineering,4) = 3.183473212678281
poids(programming,4) = 1.974213590369945
poids(terminology,4) = 3.250420002308894
poids(two,5) = 2.0569861875071203
poids(square,5) = 2.914627900385701
poids(root,5) = 3.1077524987401626
poids(approximations,5) = 3.090719159441382
poids(use,6) = 1.9616244630619244
poids(computers,6) = 2.4375066456660384
poids(inspection,6) = 3.8067225030761813
poids(procedures,6) = 2.492855282707028
poids(glossary,7) = 3.660594467397943
poids(computer,7) = 1.729718176282831
poids(engineering,7) = 3.183473212678281
poids(programming,7) = 1.974213590369945
poids(terminology,7) = 3.250420002308894
poids(equivalence,8) = 3.464299822253975
poids(transformation,8) = 3.0285712526925375
poids(program,8) = 1.9270532974441277
poids(schemes,8) = 3.163269826589994
poids(proposal,9) = 3.250420002308894
poids(uncol,9) = 4.204662511748219
poids(glossary,10) = 3.660594467397943
poids(computer,10) = 1.729718176282831
poids(engineering,10) = 3.183473212678281
poids(programming,10) = 1.974213590369945
poids(terminology,10) = 3.250420002308894
poids(problem,11) = 2.0403096559637817
poids(programming,11) = 1.974213590369945
poids(communication,11) = 2.8824432170142997
poids(changing,11) = 3.391749155105363
poids(machines,11) = 2.9036325160842376
poids(proposed,11) = 2.3534041630291433
poids(solution,11) = 2.285584419372145
poids(part,11) = 2.5612098352620314
poids(2,11) = 2.415787395972802
poids(error,12) = 2.4487876560757273
poids(estimation,12) = 3.4265112613645754
poids(runge,12) = 3.5514499979728753
poids(kutta,12) = 3.4265112613645754
poids(procedures,12) = 2.492855282707028
poids(glossary,13) = 3.660594467397943
poids(computer,13) = 1.729718176282831
poids(engineering,13) = 3.183473212678281
poids(programming,13) = 1.974213590369945
poids(terminology,13) = 3.250420002308894
poids(problem,14) = 2.0403096559637817
poids(programming,14) = 1.974213590369945
poids(communication,14) = 2.8824432170142997
poids(changing,14) = 3.391749155105363
poids(machines,14) = 2.9036325160842376
