(preliminary,1) -> 3.204662511748219
(report,1) -> 2.699512533428313
(international,1) -> 3.5514499979728753
(algebraic,1) -> 2.8335946494764825
(language,1) -> 2.0242498789098953
(extraction,2) -> 3.5514499979728753
(roots,2) -> 3.0285712526925375
(repeated,2) -> 3.727541257028556
(subtractions,2) -> 4.0285712526925375
(digital,2) -> 2.5056925074122
(computers,2) -> 2.4375066456660384
(techniques,3) -> 2.2408746844026637
(department,3) -> 3.4265112613645754
(matrix,3) -> 2.362677707158105
(program,3) -> 1.9270532974441277
(schemes,3) -> 3.163269826589994
(glossary,4) -> 3.660594467397943
(computer,4) -> 1.729718176282831
(engineering,4) -> 3.183473212678281
(programming,4) -> 1.974213590369945
(terminology,4) -> 3.250420002308894
(two,5) -> 2.0569861875071203
(square,5) -> 2.914627900385701
(root,5) -> 3.1077524987401626
(approximations,5) -> 3.090719159441382
(use,6) -> 1.9616244630619244
(computers,6) -> 2.4375066456660384
(inspection,6) -> 3.8067225030761813
(procedures,6) -> 2.492855282707028
(glossary,7) -> 3.660594467397943
(computer,7) -> 1.729718176282831
(engineering,7) -> 3.183473212678281
(programming,7) -> 1.974213590369945
(terminology,7) -> 3.250420002308894
(equivalence,8) -> 3.464299822253975
(transformation,8) -> 3.0285712526925375
(program,8) -> 1.9270532974441277
(schemes,8) -> 3.163269826589994
(proposal,9) -> 3.250420002308894
(uncol,9) -> 4.204662511748219
(glossary,10) -> 3.660594467397943
(computer,10) -> 1.729718176282831
(engineering,10) -> 3.183473212678281
(programming,10) -> 1.974213590369945
(terminology,10) -> 3.250420002308894
(problem,11) -> 2.0403096559637817
(programming,11) -> 1.974213590369945
(communication,11) -> 2.8824432170142997
(changing,11) -> 3.391749155105363
(machines,11) -> 2.9036325160842376
(proposed,11) -> 2.3534041630291433
(solution,11) -> 2.285584419372145
(part,11) -> 2.5612098352620314
(2,11) -> 2.415787395972802
(error,12) -> 2.4487876560757273
(estimation,12) -> 3.4265112613645754
(runge,12) -> 3.5514499979728753
(kutta,12) -> 3.4265112613645754
(procedures,12) -> 2.492855282707028
(glossary,13) -> 3.660594467397943
(computer,13) -> 1.729718176282831
(engineering,13) -> 3.183473212678281
(programming,13) -> 1.974213590369945
(terminology,13) -> 3.250420002308894
(problem,14) -> 2.0403096559637817
(programming,14) -> 1.974213590369945
(communication,14) -> 2.8824432170142997
(changing,14) -> 3.391749155105363
(machines,14) -> 2.9036325160842376
(proposed,14) -> 2.3534041630291433
(solution,14) -> 2.285584419372145
(part,14) -> 2.5612098352620314
(1,14) -> 2.3354307920172426
(recursive,15) -> 2.8622398309260126
(curve,15) -> 2.914627900385701
(fitting,15) -> 3.0285712526925375
